freq_uHz,snr
180.00138,0.08410
180.00953,0.74505
180.01767,1.42600
180.02581,1.30092
180.03395,0.91169
180.04210,0.61598
180.05024,0.35831
180.05838,0.86772
180.06652,0.13244
180.07467,1.54896
180.08281,0.12167
180.09095,1.29035
180.09909,1.29900
180.10723,0.50160
180.11538,0.77973
180.12352,0.10436
180.13166,1.99567
180.13980,3.49605
180.14795,0.41915
180.15609,0.84795
180.16423,0.39840
180.17237,0.32182
180.18051,0.47090
180.18866,0.58851
180.19680,0.07839
180.20494,0.01801
180.21308,0.29910
180.22123,0.21370
180.22937,0.12917
180.23751,0.46653
180.24565,0.89290
180.25380,0.72908
180.26194,0.41067
180.27008,1.74491
180.27822,1.06954
180.28636,0.72699
180.29451,1.67423
180.30265,0.40803
180.31079,0.12097
180.31893,1.98479
180.32708,0.02531
180.33522,0.99840
180.34336,0.21444
180.35150,0.40838
180.35964,1.94828
180.36779,1.62341
180.37593,0.47532
180.38407,1.00823
180.39221,0.39834
180.40036,1.40057
180.40850,0.89730
180.41664,0.60056
180.42478,0.20799
180.43293,0.21470
180.44107,1.67630
180.44921,0.95466
180.45735,1.06896
180.46549,1.29000
180.47364,0.67079
180.48178,1.42529
180.48992,0.47160
180.49806,0.77576
180.50621,0.58826
180.51435,0.50966
180.52249,1.07485
180.53063,0.14832
180.53877,0.02461
180.54692,2.97624
180.55506,4.36223
180.56320,0.03301
180.57134,1.06009
180.57949,0.21713
180.58763,1.17166
180.59577,0.16562
180.60391,0.12098
180.61205,0.19351
180.62020,1.07100
180.62834,0.85076
180.63648,0.61599
180.64462,0.08974
180.65277,0.85092
180.66091,0.12179
180.66905,0.57792
180.67719,0.33718
180.68534,0.06630
180.69348,0.46183
180.70162,0.20870
180.70976,0.14183
180.71790,0.33780
180.72605,0.80800
180.73419,0.01080
180.74233,0.45019
180.75047,1.44973
180.75862,0.02201
180.76676,0.09886
180.77490,0.11498
180.78304,0.07083
180.79118,0.03075
180.79933,0.21559
180.80747,2.27014
180.81561,0.32390
180.82375,0.71783
180.83190,0.49555
180.84004,0.29808
180.84818,0.82163
180.85632,0.25000
180.86447,0.05666
180.87261,0.66342
180.88075,0.37899
180.88889,2.67971
180.89703,0.92985
180.90518,0.88381
180.91332,0.12106
180.92146,0.42001
180.92960,0.84207
180.93775,0.38174
180.94589,1.23117
180.95403,0.70987
180.96217,0.93578
180.97031,0.13807
180.97846,0.07866
180.98660,0.21891
180.99474,1.84922
181.00288,1.14527
181.01103,0.59530
181.01917,0.18062
181.02731,0.86129
181.03545,0.03426
181.04359,0.20712
181.05174,0.26651
181.05988,1.36916
181.06802,0.43197
181.07616,7.01240
181.08431,2.69629
181.09245,0.19506
181.10059,0.73883
181.10873,0.55206
181.11688,1.20232
181.12502,0.45991
181.13316,0.09801
181.14130,0.99846
181.14944,1.28742
181.15759,0.10470
181.16573,0.93566
181.17387,0.73653
181.18201,0.10747
181.19016,0.97974
181.19830,1.04442
181.20644,0.22147
181.21458,0.81293
181.22272,1.70485
181.23087,0.46125
181.23901,1.68488
181.24715,0.16013
181.25529,0.05543
181.26344,0.55650
181.27158,0.46133
181.27972,1.30134
181.28786,1.09718
181.29601,4.52883
181.30415,1.88354
181.31229,0.44962
181.32043,0.80042
181.32857,0.04289
181.33672,0.77749
181.34486,0.34721
181.35300,0.74254
181.36114,0.62278
181.36929,1.09801
181.37743,1.23671
181.38557,1.38089
181.39371,0.69837
181.40185,0.05548
181.41000,0.09439
181.41814,0.18392
181.42628,0.42527
181.43442,0.52961
181.44257,0.48220
181.45071,1.07181
181.45885,0.07509
181.46699,1.96043
181.47513,0.71050
181.48328,1.41243
181.49142,0.64452
181.49956,0.33264
181.50770,0.38621
181.51585,1.85246
181.52399,0.85650
181.53213,1.43446
181.54027,1.61489
181.54842,0.50725
181.55656,0.17895
181.56470,1.83303
181.57284,0.18390
181.58098,0.01630
181.58913,0.75307
181.59727,1.56466
181.60541,0.00483
181.61355,0.28223
181.62170,1.82487
181.62984,0.52523
181.63798,0.36720
181.64612,0.77544
181.65426,0.08043
181.66241,0.24478
181.67055,1.89495
181.67869,0.16449
181.68683,2.15492
181.69498,0.22117
181.70312,0.28533
181.71126,0.21374
181.71940,0.06234
181.72755,0.97242
181.73569,0.30627
181.74383,0.89481
181.75197,2.44748
181.76011,0.15671
181.76826,0.84073
181.77640,0.69107
181.78454,0.02727
181.79268,0.82768
181.80083,0.55026
181.80897,0.92346
181.81711,0.14775
181.82525,0.45038
181.83339,1.90419
181.84154,0.43930
181.84968,0.76733
181.85782,0.01600
181.86596,0.03613
181.87411,0.32654
181.88225,0.26529
181.89039,0.13400
