star,l,fc
KIC10272858,0,260.6098
KIC10272858,0,282.5532
KIC10272858,0,305.1073
KIC10272858,0,327.8568
KIC10272858,0,350.533
KIC10272858,0,373.3232
KIC10272858,0,396.5042
KIC10272858,0,419.4084
KIC10272858,1,275.9417
KIC10272858,1,290.0034
KIC10272858,1,294.3514
KIC10272858,1,299.652
KIC10272858,1,307.7454
KIC10272858,1,315.163
KIC10272858,1,319.055
KIC10272858,1,336.4794
KIC10272858,1,340.7867
KIC10272858,1,349.4256
KIC10272858,1,359.4976
KIC10272858,1,364.0166
KIC10272858,1,374.3573
KIC10272858,1,383.9814
KIC10272858,1,389.7299
KIC10272858,1,402.3341
KIC10272858,1,408.9212
KIC10272858,2,257.8333
KIC10272858,2,280.0617
KIC10272858,2,302.689
KIC10272858,2,325.4548
KIC10272858,2,348.2857
KIC10272858,2,371.0108
KIC10272858,2,394.1348
KIC10272858,2,417.2019
